price,region,address,bedrooms,bathrooms
799000,"Ajax, ON","2 ROLLO DR, Ajax, Ontario",3,3
989000,"Ajax, ON","717 OLD HARWOOD AVE, Ajax, Ontario",2,1
999900,"Ajax, ON","52 ADDLEY CRES, Ajax, Ontario",3,4
799900,"Ajax, ON","249 MONARCH AVE, Ajax, Ontario",3,3
899999,"Ajax, ON","18 MONK CRES, Ajax, Ontario",3,3
1199000,"Ajax, ON","4 SALLIS DR, Ajax, Ontario",4,3
899000,"Ajax, ON","38 E COXHEAD Lane, Durham, Ontario",3,0
1449000,"Ajax, ON","4 BIGGS DR, Ajax, Ontario",4,4
549900,"Ajax, ON","#415 -191 LAKE DRIVEWAY WAY, Ajax, Ontario",2,2
1088000,"Ajax, ON","899 FINLEY AVE, Ajax, Ontario",3,3
899999,"Ajax, ON",Address not available,3,3
633000,"Ajax, ON","#502 -92 CHURCH ST S, Ajax, Ontario",2,2
899000,"Ajax, ON","38 COXHEAD LANE, Ajax, Ontario",3,3
1199000,"Ajax, ON","4 STOCKBRIDGE CRES, Ajax, Ontario",3,3
899000,"Ajax, ON","57 CULLCASTLE ST, Ajax, Ontario",3,3
999900,"Ajax, ON","11 BOOKER DR, Ajax, Ontario",3,3
999900,"Ajax, ON","14 TILLER ST, Ajax, Ontario",3,3
999900,"Ajax, ON","14 TILLER Street, Ajax, Ontario",3,3
938800,"Ajax, ON","93 CARPENDALE CRES, Ajax, Ontario",3,3
1199999,"Ajax, ON","31 BELLOTTI CRES, Ajax, Ontario",4,3
999000,"Ajax, ON","18 CRANLEY CRT, Ajax, Ontario",3,4
899000,"Ajax, ON","100 CHRISTENA CRES, Ajax, Ontario",3,2
850000,"Ajax, ON","37 BEATTY RD, Ajax, Ontario",3,2
1289900,"Ajax, ON","25 DEVERILL CRES, Ajax, Ontario",3,3
1395000,"Ajax, ON","48 LOUGHLIN HILL CRES, Ajax, Ontario",2,3
775000,"Ajax, ON","124 CARPENDALE CRES, Ajax, Ontario",3,2
999000,"Ajax, ON","113 ELLIOTTGLEN DR, Ajax, Ontario",3,4
1190000,"Ajax, ON","24 RAITHBY CRES, Ajax, Ontario",4,4
950000,"Ajax, ON","38 CEDAR ST, Ajax, Ontario",4,2
729000,"Ajax, ON","160 CLEMENTS RD E, Ajax, Ontario",3,3
1099000,"Ajax, ON","22 COUGHLEN ST, Ajax, Ontario",3,3
749900,"Ajax, ON","29 CLOWES ST W, Ajax, Ontario",2,3
1799000,"Ajax, ON","16 BRICE DR, Ajax, Ontario",4,5
1099000,"Ajax, ON","44 STRICKLAND DR, Ajax, Ontario",4,4
999898,"Ajax, ON","18 FITZGERALD DR, Ajax, Ontario",2,2
699000,"Ajax, ON","16 THORNHARROLD ST, Ajax, Ontario",2,2
1149000,"Ajax, ON","42 ATHERTON AVE, Ajax, Ontario",3,3
990000,"Ajax, ON","91 FEINT DR, Ajax, Ontario",3,4
949900,"Ajax, ON","28 ELGIN ST, Ajax, Ontario",3,2
989900,"Ajax, ON","487 ROSSLAND RD E, Ajax, Ontario",3,3
998000,"Ajax, ON","51 GURR CRES, Ajax, Ontario",3,4
1099000,"Ajax, ON","36 TODHUNTER CRES, Ajax, Ontario",3,4
800000,"Ajax, ON","20 WEEKES DR, Ajax, Ontario",3,2
1799900,"Ajax, ON","141 ELIZABETH ST, Ajax, Ontario",4,4
1388000,"Ajax, ON","127 KEARNEY DR, Ajax, Ontario",4,4
949900,"Ajax, ON","134 ATHERTON AVE, Ajax, Ontario",3,3
699000,"Ajax, ON","92 BURCHER RD, Ajax, Ontario",3,1
699000,"Ajax, ON","31 WINDSOR AVE, Ajax, Ontario",3,1
899000,"Ajax, ON","58 BOOTH CRES, Ajax, Ontario",3,3
849900,"Ajax, ON","9 MILLINGTON CRES, Ajax, Ontario",3,4
999999,"Ajax, ON","66 KNAPTON AVE, Ajax, Ontario",4,4
1200000,"Ajax, ON","804 AUDLEY RD S, Ajax, Ontario",4,4
799990,"Ajax, ON","571 ROSSLAND RD E, Ajax, Ontario",3,3
799900,"Ajax, ON","44 HORNSELL CIRC, Ajax, Ontario",3,3
1499900,"Ajax, ON","8 SIVYER CRES, Ajax, Ontario",4,4
899000,"Ajax, ON","38 BOYLETT RD, Ajax, Ontario",4,3
749000,"Ajax, ON","128 WRIGHT CRES, Ajax, Ontario",3,3
699900,"Ajax, ON","#1211 -2 WESTNEY RD N, Ajax, Ontario",2,2
1250000,"Ajax, ON","76 RADFORD DR, Ajax, Ontario",3,4
999000,"Ajax, ON","36 ADMIRAL RD, Ajax, Ontario",3,2
879900,"Ajax, ON","26 ALDONSCHOOL CRT, Ajax, Ontario",3,4
989900,"Ajax, ON","38 O'DELL CRT, Ajax, Ontario",3,2
799900,"Ajax, ON","479 ROSSLAND RD E, Ajax, Ontario",3,3
1399000,"Ajax, ON","42 WILSONGARY CIRC, Ajax, Ontario",4,3
799998,"Ajax, ON","68 WESTRAY CRES, Ajax, Ontario",3,3
799900,"Ajax, ON","86 THORP CRES, Ajax, Ontario",3,3
799000,"Ajax, ON","26 HEWITT CRES, Ajax, Ontario",3,2
