price,region,address,bedrooms,bathrooms
799000,0,"2 ROLLO DR, Ajax, Ontario",3,3
989000,0,"717 OLD HARWOOD AVE, Ajax, Ontario",2,1
999900,0,"52 ADDLEY CRES, Ajax, Ontario",3,4
799900,0,"249 MONARCH AVE, Ajax, Ontario",3,3
899999,0,"18 MONK CRES, Ajax, Ontario",3,3
1199000,0,"4 SALLIS DR, Ajax, Ontario",4,3
899000,0,"38 E COXHEAD Lane, Durham, Ontario",3,0
1449000,0,"4 BIGGS DR, Ajax, Ontario",4,4
549900,0,"#415 -191 LAKE DRIVEWAY WAY, Ajax, Ontario",2,2
1088000,0,"899 FINLEY AVE, Ajax, Ontario",3,3
899999,0,Address not available,3,3
633000,0,"#502 -92 CHURCH ST S, Ajax, Ontario",2,2
899000,0,"38 COXHEAD LANE, Ajax, Ontario",3,3
1199000,0,"4 STOCKBRIDGE CRES, Ajax, Ontario",3,3
899000,0,"57 CULLCASTLE ST, Ajax, Ontario",3,3
999900,0,"11 BOOKER DR, Ajax, Ontario",3,3
999900,0,"14 TILLER ST, Ajax, Ontario",3,3
999900,0,"14 TILLER Street, Ajax, Ontario",3,3
938800,0,"93 CARPENDALE CRES, Ajax, Ontario",3,3
1199999,0,"31 BELLOTTI CRES, Ajax, Ontario",4,3
999000,0,"18 CRANLEY CRT, Ajax, Ontario",3,4
899000,0,"100 CHRISTENA CRES, Ajax, Ontario",3,2
850000,0,"37 BEATTY RD, Ajax, Ontario",3,2
1289900,0,"25 DEVERILL CRES, Ajax, Ontario",3,3
1395000,0,"48 LOUGHLIN HILL CRES, Ajax, Ontario",2,3
775000,0,"124 CARPENDALE CRES, Ajax, Ontario",3,2
999000,0,"113 ELLIOTTGLEN DR, Ajax, Ontario",3,4
1190000,0,"24 RAITHBY CRES, Ajax, Ontario",4,4
950000,0,"38 CEDAR ST, Ajax, Ontario",4,2
729000,0,"160 CLEMENTS RD E, Ajax, Ontario",3,3
1099000,0,"22 COUGHLEN ST, Ajax, Ontario",3,3
749900,0,"29 CLOWES ST W, Ajax, Ontario",2,3
1799000,0,"16 BRICE DR, Ajax, Ontario",4,5
1099000,0,"44 STRICKLAND DR, Ajax, Ontario",4,4
999898,0,"18 FITZGERALD DR, Ajax, Ontario",2,2
699000,0,"16 THORNHARROLD ST, Ajax, Ontario",2,2
1149000,0,"42 ATHERTON AVE, Ajax, Ontario",3,3
990000,0,"91 FEINT DR, Ajax, Ontario",3,4
949900,0,"28 ELGIN ST, Ajax, Ontario",3,2
989900,0,"487 ROSSLAND RD E, Ajax, Ontario",3,3
998000,0,"51 GURR CRES, Ajax, Ontario",3,4
1099000,0,"36 TODHUNTER CRES, Ajax, Ontario",3,4
800000,0,"20 WEEKES DR, Ajax, Ontario",3,2
1799900,0,"141 ELIZABETH ST, Ajax, Ontario",4,4
